@relation '.\\uk-2007-05.content_based_features.csv'

@attribute HST_1 numeric
@attribute HST_2 numeric
@attribute HST_3 numeric
@attribute HST_4 numeric
@attribute HST_5 numeric
@attribute HST_6 numeric
@attribute HST_7 numeric
@attribute HST_8 numeric
@attribute HST_9 numeric
@attribute HST_10 numeric
@attribute HST_11 numeric
@attribute HST_12 numeric
@attribute HST_13 numeric
@attribute HST_14 numeric
@attribute HST_15 numeric
@attribute HST_16 numeric
@attribute HST_17 numeric
@attribute HST_18 numeric
@attribute HST_19 numeric
@attribute HST_20 numeric
@attribute HST_21 numeric
@attribute HST_22 numeric
@attribute HST_23 numeric
@attribute HST_24 numeric
@attribute HMG_25 numeric
@attribute HMG_26 numeric
@attribute HMG_27 numeric
@attribute HMG_28 numeric
@attribute HMG_29 numeric
@attribute HMG_30 numeric
@attribute HMG_31 numeric
@attribute HMG_32 numeric
@attribute HMG_33 numeric
@attribute HMG_34 numeric
@attribute HMG_35 numeric
@attribute HMG_36 numeric
@attribute HMG_37 numeric
@attribute HMG_38 numeric
@attribute HMG_39 numeric
@attribute HMG_40 numeric
@attribute HMG_41 numeric
@attribute HMG_42 numeric
@attribute HMG_43 numeric
@attribute HMG_44 numeric
@attribute HMG_45 numeric
@attribute HMG_46 numeric
@attribute HMG_47 numeric
@attribute HMG_48 numeric
@attribute AVG_49 numeric
@attribute AVG_50 numeric
@attribute AVG_51 numeric
@attribute AVG_52 numeric
@attribute AVG_53 numeric
@attribute AVG_54 numeric
@attribute AVG_55 numeric
@attribute AVG_56 numeric
@attribute AVG_57 numeric
@attribute AVG_58 numeric
@attribute AVG_59 numeric
@attribute AVG_60 numeric
@attribute AVG_61 numeric
@attribute AVG_62 numeric
@attribute AVG_63 numeric
@attribute AVG_64 numeric
@attribute AVG_65 numeric
@attribute AVG_66 numeric
@attribute AVG_67 numeric
@attribute AVG_68 numeric
@attribute AVG_69 numeric
@attribute AVG_70 numeric
@attribute AVG_71 numeric
@attribute AVG_72 numeric
@attribute STD_73 numeric
@attribute STD_74 numeric
@attribute STD_75 numeric
@attribute STD_76 numeric
@attribute STD_77 numeric
@attribute STD_78 numeric
@attribute STD_79 numeric
@attribute STD_80 numeric
@attribute STD_81 numeric
@attribute STD_82 numeric
@attribute STD_83 numeric
@attribute STD_84 numeric
@attribute STD_85 numeric
@attribute STD_86 numeric
@attribute STD_87 numeric
@attribute STD_88 numeric
@attribute STD_89 numeric
@attribute STD_90 numeric
@attribute STD_91 numeric
@attribute STD_92 numeric
@attribute STD_93 numeric
@attribute STD_94 numeric
@attribute STD_95 numeric
@attribute STD_96 numeric
@attribute class {spam,nonspam}

@data
62,8,4.967742,0.016129,0.033315,1.761905,0.112903,0.129032,0.177419,0.258065,0.07,0.04,0.022,0.016,0,0.048387,0.129032,0.16129,0,0.015,0.016,0.01,4.094345,4.094345,62,8,4.967742,0.016129,0.033315,1.761905,0.112903,0.129032,0.177419,0.258065,0.07,0.04,0.022,0.016,0,0.048387,0.129032,0.16129,0,0.015,0.016,0.01,4.094345,4.094345,62,8,4.967742,0.016129,0.033315,1.761905,0.112903,0.129032,0.177419,0.258065,0.07,0.04,0.022,0.016,0,0.048387,0.129032,0.16129,0,0.015,0.016,0.01,4.094345,4.094345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
94,1,4.989362,0.085106,0.015302,2.069853,0.148936,0.244681,0.329787,0.425532,0.14,0.115,0.062,0.04,0.021277,0.12766,0.202128,0.297872,0.02,0.06,0.038,0.028,4.431378,4.181684,94,1,4.989362,0.085106,0.015302,2.069853,0.148936,0.244681,0.329787,0.425532,0.14,0.115,0.062,0.04,0.021277,0.12766,0.202128,0.297872,0.02,0.06,0.038,0.028,4.431378,4.181684,105.12,3.44,5.228569,0.136459,0.03103,1.807052,0.161164,0.223405,0.299546,0.402622,0.1436,0.102,0.0548,0.03716,0.054943,0.142013,0.211208,0.254457,0.0308,0.0522,0.03888,0.02368,4.190622,4.116205,15133.7856,1.9264,0.188786,0.008076,0.001325,0.074774,0.001632,0.003953,0.005879,0.006885,0.012559,0.00702,0.002276,0.001087,0.002106,0.004367,0.002882,0.004603,0.000223,0.001414,0.001416,0.000567,0.730257,0.635154,nonspam
16,5,4.875,0,0.032653,1.119048,0.0625,0.1875,0.1875,0.3125,0.01,0.015,0.006,0.005,0,0.0625,0.1875,0.25,0,0.005,0.006,0.004,2.639057,2.639057,16,5,4.875,0,0.032653,1.119048,0.0625,0.1875,0.1875,0.3125,0.01,0.015,0.006,0.005,0,0.0625,0.1875,0.25,0,0.005,0.006,0.004,2.639057,2.639057,329.875,2,4.627296,0.039483,0.055258,2.475921,0.092457,0.140455,0.226763,0.290756,0.22625,0.159375,0.14125,0.089125,0.024595,0.064185,0.165334,0.222381,0.09125,0.080625,0.08375,0.067875,5.058928,4.546843,70966.609375,2,0.176748,0.009704,0.000898,0.984829,0.002776,0.004688,0.006947,0.00749,0.018648,0.007265,0.017895,0.006267,0.000322,0.000776,0.003927,0.005491,0.009611,0.002665,0.002668,0.003952,1.295359,1.075073,nonspam
13,2,4.769231,0.230769,0.015532,1.071429,0.230769,0.307692,0.384615,0.461538,0.03,0.02,0.01,0.006,0.076923,0.076923,0.307692,0.307692,0.01,0.005,0.008,0.004,2.397895,2.397895,171,1,4.444444,0.081871,0.015042,2.064302,0.169591,0.181287,0.263158,0.345029,0.29,0.155,0.09,0.059,0.023392,0.046784,0.081871,0.187135,0.04,0.04,0.028,0.032,5.031464,4.793543,61.357143,2.214286,4.99972,0.084516,0.011198,1.695357,0.131014,0.228749,0.320973,0.442287,0.092857,0.062143,0.036286,0.024357,0.043342,0.097844,0.192781,0.30398,0.020714,0.022143,0.016714,0.015214,3.551725,3.431218,3144.086735,0.454082,0.269767,0.002822,0.000044,0.11028,0.002232,0.003085,0.005048,0.007866,0.010463,0.002767,0.001,0.000406,0.000182,0.001685,0.007376,0.008834,0.000221,0.000213,0.00012,0.000122,0.835484,0.610877,nonspam
12,1,4.583333,0,0.017778,1.030769,0.083333,0.166667,0.166667,0.333333,0.01,0.01,0.004,0.004,0,0,0.083333,0.166667,0,0,0.002,0.002,2.302585,2.302585,51,3,5.019608,0,0.005624,1.535,0.176471,0.254902,0.392157,0.529412,0.09,0.065,0.04,0.027,0.039216,0.078431,0.235294,0.313725,0.02,0.02,0.024,0.016,3.89182,3.89182,277.285714,2.119048,4.712467,0.032509,0.03264,2.03691,0.074866,0.12367,0.200866,0.266974,0.154048,0.128214,0.088143,0.06169,0.028259,0.05927,0.129652,0.174423,0.075,0.075952,0.064714,0.044,5.246944,5.106179,48566.870748,2.009637,0.115863,0.01316,0.000422,0.065762,0.002636,0.005853,0.009452,0.009698,0.01281,0.007419,0.003012,0.001659,0.000184,0.000742,0.002855,0.002916,0.003115,0.004348,0.002474,0.000999,0.796034,0.781804,nonspam
159,5,4.867925,0.352201,0.03612,2.059603,0.201258,0.251572,0.345912,0.427673,0.32,0.2,0.11,0.068,0.062893,0.157233,0.232704,0.27673,0.1,0.125,0.074,0.044,5.012096,4.873144,159,5,4.867925,0.352201,0.03612,2.059603,0.201258,0.251572,0.345912,0.427673,0.32,0.2,0.11,0.068,0.062893,0.157233,0.232704,0.27673,0.1,0.125,0.074,0.044,5.012096,4.873144,113.133333,5,5.475213,0.561193,0.028503,2.185534,0.204523,0.275752,0.365308,0.515917,0.208667,0.141333,0.0756,0.053067,0.10776,0.214441,0.288358,0.380482,0.1,0.104333,0.0588,0.0384,4.457746,4.072886,3977.982222,0,0.092076,0.047938,0.000466,0.008714,0.002316,0.003188,0.004188,0.010234,0.003518,0.001328,0.00043,0.000196,0.001785,0.004219,0.004743,0.008039,0.00056,0.000396,0.000255,0.000087,0.219834,0.38706,nonspam
85,4,5.376471,0.058824,0.024927,1.862543,0.058824,0.070588,0.117647,0.211765,0.05,0.03,0.02,0.018,0.023529,0.058824,0.188235,0.2,0.02,0.025,0.032,0.017,4.306018,4.056231,85,4,5.376471,0.058824,0.024927,1.862543,0.058824,0.070588,0.117647,0.211765,0.05,0.03,0.02,0.018,0.023529,0.058824,0.188235,0.2,0.02,0.025,0.032,0.017,4.306018,4.056231,243.333333,3.47619,4.879529,0.16751,0.04436,1.981988,0.094477,0.158105,0.222711,0.284633,0.225238,0.182143,0.104667,0.066667,0.033452,0.083193,0.176636,0.207652,0.044286,0.064762,0.06781,0.041857,4.95354,4.776781,34469.079365,3.582766,0.299158,0.056426,0.000727,0.129678,0.002847,0.004189,0.004391,0.005002,0.046434,0.023009,0.007545,0.002941,0.00149,0.004927,0.008259,0.00827,0.002072,0.002061,0.002139,0.000863,1.380682,1.183689,spam
3,3,3.666667,0,0.002613,0.636364,0,0.333333,0.333333,0.333333,0,0.005,0.002,0.001,0,0.333333,0.333333,0.333333,0,0.005,0.002,0.001,0,0,44,5,5.977273,0,0.031954,1.827381,0.204545,0.363636,0.409091,0.454545,0.09,0.08,0.036,0.02,0,0.136364,0.204545,0.25,0,0.03,0.018,0.011,3.593183,3.322537,21.6,4.6,5.044747,0,0.012469,1.375451,0.122727,0.347677,0.407273,0.444646,0.04,0.038,0.018,0.01,0,0.226465,0.246162,0.300707,0,0.018,0.0088,0.0058,2.245596,2.043818,225.04,0.64,1.101496,0,0.000102,0.1811,0.010615,0.001668,0.00286,0.008522,0.00148,0.000766,0.000149,0.000047,0,0.013715,0.011075,0.003483,0,0.000086,0.000033,0.000012,1.766241,1.732595,nonspam
2,2,8,0,0.002037,0.692308,0.5,0.5,0.5,0.5,0.01,0.005,0.002,0.001,0,0,0,0,0,0,0,0,1,1,786,2,3.585242,0,0.107804,3.455417,0.040712,0.085242,0.136132,0.151399,0.32,0.335,0.214,0.119,0.003817,0.025445,0.061069,0.07888,0.03,0.1,0.096,0.062,6.338306,5.194485,208.25,2,6.245148,1,0.033507,1.5757,0.27762,0.306194,0.347987,0.380873,0.0925,0.09375,0.06,0.03425,0.018396,0.035431,0.061779,0.072046,0.015,0.03125,0.028,0.01775,3.01297,2.727014,111545.1875,0,3.489068,3,0.001921,1.276714,0.049558,0.037929,0.024899,0.020279,0.017319,0.019505,0.007972,0.002432,0.000882,0.002287,0.005769,0.007317,0.000225,0.00168,0.001584,0.000666,4.9132,3.256716,nonspam
464,1,5.336207,0.103448,0.034916,2.380567,0.099138,0.150862,0.265086,0.340517,0.46,0.35,0.246,0.158,0.038793,0.068966,0.112069,0.165948,0.18,0.16,0.104,0.077,6.06655,5.795607,464,1,5.336207,0.103448,0.034916,2.380567,0.099138,0.150862,0.265086,0.340517,0.46,0.35,0.246,0.158,0.038793,0.068966,0.112069,0.165948,0.18,0.16,0.104,0.077,6.06655,5.795607,2209.044872,3.318376,5.335598,0.162724,0.062273,2.742133,0.079881,0.127492,0.207458,0.29744,1.429103,1.206741,0.859624,0.626579,0.034175,0.063975,0.127131,0.201129,0.582735,0.599626,0.527491,0.415846,6.671922,5.937493,11854351.346277,8.520432,0.140617,0.01539,0.000594,0.252351,0.00059,0.00092,0.001002,0.001431,3.573643,2.662067,1.553204,0.86206,0.000277,0.000579,0.000927,0.001285,0.624363,0.724772,0.599186,0.361939,1.111654,0.565663,nonspam
