L_indegree_mp,L_outdegree_hp,L_outdegree_mp,L_assortativity_mp,L_avgin_of_out_hp,L_avgin_of_out_mp,log_OP_avgin_of_out_hp_mul_outdegree_hp_CP_,log_OP_avgin_of_out_mp_mul_outdegree_mp_CP_,L_avgout_of_in_mp,log_OP_avgout_of_in_hp_mul_indegree_hp_CP_,log_OP_avgout_of_in_mp_mul_indegree_mp_CP_,eq_hp_mp,L_pagerank_hp,L_pagerank_mp,log_OP_indegree_mp_div_pagerank_mp_CP_,log_OP_outdegree_hp_div_pagerank_hp_CP_,log_OP_outdegree_mp_div_pagerank_mp_CP_,L_prsigma_hp,L_prsigma_mp,log_OP_prsigma_hp_div_pagerank_hp_CP_,log_OP_prsigma_mp_div_pagerank_mp_CP_,L_trustrank_hp,L_trustrank_mp,log_OP_trustrank_mp_div_indegree_mp_CP_,L_siteneighbors_1_hp,L_siteneighbors_2_hp,L_siteneighbors_3_hp,L_siteneighbors_4_hp,L_siteneighbors_1_mp,L_siteneighbors_2_mp,L_siteneighbors_3_mp,L_siteneighbors_4_mp,log_OP_siteneighbors_1_hp_div_pagerank_hp_CP_,log_OP_siteneighbors_2_hp_div_pagerank_hp_CP_,log_OP_siteneighbors_3_hp_div_pagerank_hp_CP_,log_OP_siteneighbors_1_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_2_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_3_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_4_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_2_hp_div_siteneighbors_1_hp_CP_,log_OP_siteneighbors_2_mp_div_siteneighbors_1_mp_CP_,log_OP__OP_siteneighbors_2_hp_m_siteneighbors_1_hp_CP__div_pagerank_hp_CP_,log_OP__OP_siteneighbors_2_mp_m_siteneighbors_1_mp_CP__div_pagerank_mp_CP_,siteneighbors_1_hp_div_siteneighbors_1_mp,L_neighbors_2_hp,L_neighbors_4_hp,L_neighbors_2_mp,L_neighbors_3_mp,L_neighbors_4_mp,log_OP_neighbors_2_mp_div_pagerank_mp_CP_,log_OP_neighbors_3_mp_div_pagerank_mp_CP_,log_OP_neighbors_4_mp_div_pagerank_mp_CP_,log_OP_neighbors_3_hp_div_neighbors_2_hp_CP_,log_OP_max_OP_neighbors_2_mp_div_indegree_mp_neighbors_3_mp_div_neighbors_2_mp_neighbors_4_mp_div_neighbors_3_mp_CP__CP_,log_OP_avg_OP_neighbors_2_hp_div_indegree_hp_neighbors_3_hp_div_neighbors_2_hp_neighbors_4_hp_div_neighbors_3_hp_CP__CP_,log_OP_avg_OP_neighbors_2_mp_div_indegree_mp_neighbors_3_mp_div_neighbors_2_mp_neighbors_4_mp_div_neighbors_3_mp_CP__CP_,neighbors_3_hp_div_neighbors_3_mp,L_truncatedpagerank_1_hp,L_truncatedpagerank_2_hp,L_truncatedpagerank_3_hp,L_truncatedpagerank_4_hp,L_truncatedpagerank_1_mp,L_truncatedpagerank_2_mp,L_truncatedpagerank_3_mp,L_truncatedpagerank_4_mp,log_OP_truncatedpagerank_1_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_2_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_3_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_4_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_1_mp_div_pagerank_mp_CP_,log_OP_truncatedpagerank_2_mp_div_pagerank_mp_CP_,log_OP_truncatedpagerank_3_mp_div_pagerank_mp_CP_,log_OP_truncatedpagerank_4_mp_div_pagerank_mp_CP_,truncatedpagerank_4_hp_div_truncatedpagerank_3_hp,truncatedpagerank_4_mp_div_truncatedpagerank_3_mp,truncatedpagerank_3_hp_div_truncatedpagerank_2_hp,truncatedpagerank_3_mp_div_truncatedpagerank_2_mp,truncatedpagerank_2_hp_div_truncatedpagerank_1_hp,truncatedpagerank_2_mp_div_truncatedpagerank_1_mp,log_OP_min_OP_truncatedpagerank_2_hp_div_truncatedpagerank_1_hp_truncatedpagerank_3_hp_div_truncatedpagerank_2_hp_truncatedpagerank_4_hp_div_truncatedpagerank_3_hp_CP__CP_,log_OP_min_OP_truncatedpagerank_2_mp_div_truncatedpagerank_1_mp_truncatedpagerank_3_mp_div_truncatedpagerank_2_mp_truncatedpagerank_4_mp_div_truncatedpagerank_3_mp_CP__CP_,log_OP_max_OP_truncatedpagerank_2_hp_div_truncatedpagerank_1_hp_truncatedpagerank_3_hp_div_truncatedpagerank_2_hp_truncatedpagerank_4_hp_div_truncatedpagerank_3_hp_CP__CP_,log_OP_max_OP_truncatedpagerank_2_mp_div_truncatedpagerank_1_mp_truncatedpagerank_3_mp_div_truncatedpagerank_2_mp_truncatedpagerank_4_mp_div_truncatedpagerank_3_mp_CP__CP_,log_OP_avg_OP_truncatedpagerank_2_hp_div_truncatedpagerank_1_hp_truncatedpagerank_3_hp_div_truncatedpagerank_2_hp_truncatedpagerank_4_hp_div_truncatedpagerank_3_hp_CP__CP_,log_OP_avg_OP_truncatedpagerank_2_mp_div_truncatedpagerank_1_mp_truncatedpagerank_3_mp_div_truncatedpagerank_2_mp_truncatedpagerank_4_mp_div_truncatedpagerank_3_mp_CP__CP_,class
0.693147,0,-50,-1.658228,0,-50,0,-50,2.197225,5.501258,2.890372,0,-19.469206,-19.144029,19.837176,19.469206,-50,0.258657,-2.982785,19.727862,16.161244,-20.629658,-20.539628,-21.232775,0.693147,0.693147,3.78419,5.620401,0,0,0,1.098612,20.162353,20.162353,23.253395,19.144029,19.144029,19.144029,20.242641,0,0,-50,-50,2,4.127134,10.813941,1.386294,1.609438,2.079442,20.530324,20.753467,21.223471,4.269472,0.693147,3.488392,0.480366,886.4,-19.798994,-19.707264,-19.588166,-19.49066,-19.698745,-20.542663,-20.807311,-20.90836,-0.329788,-0.238059,-0.118961,-0.021454,-0.554715,-1.398634,-1.663282,-1.764331,1.102418,0.903889,1.12648,0.767476,1.096069,0.430022,0.09173,-0.843918,0.119098,-0.101049,0.102848,-0.356015,nonspam
5.257495,2.302585,2.484907,1.676007,3.305887,3.417727,5.608472,5.902633,3.39859,8.649449,8.656085,0,-17.037079,-16.858547,22.116043,19.339664,19.343454,-0.495291,-3.293741,16.541788,13.564806,-18.43304,-18.255063,-23.512558,1.098612,1.791759,1.791759,3.367296,0.693147,0.693147,1.791759,1.791759,18.135691,18.828838,18.828838,17.551694,17.551694,18.650307,18.650307,0.693147,0,18.135691,-50,1.5,7.121252,11.113328,7.280697,8.095599,8.759982,24.139244,24.954146,25.61853,2.057288,2.023202,2.659879,1.366495,2.953354,-16.864462,-16.833648,-16.812535,-16.814763,-17.050717,-17.168006,-17.641897,-18.01187,0.172617,0.203431,0.224544,0.222316,-0.19217,-0.309459,-0.78335,-1.153323,0.997775,0.690753,1.021337,0.622575,1.031294,0.889328,-0.002228,-0.473891,0.030814,-0.117289,0.016662,-0.308948,nonspam
9.488956,4.882802,5.09375,4.320181,8.957418,8.776506,13.84022,13.870256,4.485626,13.983974,13.974582,0,-12.545599,-12.532049,22.021006,17.428401,17.625799,-1.084257,-1.064048,11.461342,11.468001,-13.931138,-13.928303,-23.417259,2.833213,4.317488,5.123964,6.568078,0,3.555348,4.442651,5.620401,15.378812,16.863087,17.669563,12.532049,16.087397,16.974701,18.15245,1.484275,3.555348,16.606042,16.05841,17,10.211266,12.357492,9.787515,10.211266,11.165904,22.319565,22.743316,23.697953,0.376227,0.954637,1.194661,0.601274,1.456777,-12.272162,-12.195502,-12.139693,-12.10176,-12.99868,-13.084372,-13.11178,-13.124782,0.273436,0.350097,0.405906,0.443839,-0.466631,-0.552323,-0.57973,-0.592733,1.038662,0.987082,1.057396,0.972965,1.079675,0.917877,0.037933,-0.085692,0.07666,-0.013002,0.056926,-0.041543,nonspam
6.668228,2.944439,0.693147,4.590691,4.031582,0.405465,6.976021,1.098612,1.104945,7.625107,7.773174,0,-14.934605,-14.388718,21.056946,17.879044,15.081865,-0.105169,-3.260165,14.829437,11.128553,-12.537568,-15.77368,-22.441908,1.609438,3.367296,4.204693,4.727388,0,0,0,2.995732,16.544043,18.301901,19.139298,14.388718,14.388718,14.388718,17.38445,1.757858,0,18.112659,-50,5,7.373374,10.494823,6.677083,6.767343,6.767343,21.065802,21.156061,21.156061,1.678791,0.09026,1.989692,0.033871,9.823936,-14.655108,-14.600094,-14.581389,-14.556825,-14.889704,-15.270865,-15.285657,-15.568885,0.279498,0.334511,0.353217,0.37778,-0.500986,-0.882147,-0.896939,-1.180166,1.024868,0.753348,1.018882,0.985317,1.056555,0.683068,0.018706,-0.381161,0.055013,-0.014792,0.032888,-0.214129,nonspam
4.828314,2.302585,2.079442,-1.227473,2.720099,8.835283,5.022684,10.914725,2.865168,5.811141,7.693482,0,-16.70618,-16.64179,21.470104,19.008765,18.721231,-0.278254,-1.007776,16.427926,15.634014,-15.893492,-13.544041,-18.372355,1.386294,2.944439,3.610918,6.568078,1.791759,2.639057,2.995732,4.779123,18.092475,19.650619,20.317098,18.433549,19.280847,19.637522,21.420913,1.558145,0.847298,19.414231,18.721231,0.666667,4.304065,11.166908,5.402677,6.989335,8.065579,22.044467,23.631125,24.707369,3.300829,1.586658,3.084759,1.162841,1.850691,-16.471765,-16.348322,-16.221323,-16.122915,-16.613786,-16.699508,-16.781698,-16.866606,0.234415,0.357858,0.484858,0.583265,0.028004,-0.057718,-0.139908,-0.224816,1.103412,0.918597,1.135417,0.921097,1.131385,0.917849,0.098408,-0.085722,0.127,-0.08219,0.116364,-0.084272,nonspam
0,2.639057,-50,-0.693147,8.805621,-50,11.444679,-50,0,4.89784,0,0,-19.804925,-19.511036,19.511036,22.443982,-50,-1.566017,-50,18.238908,-50,-21.201358,-20.907646,-20.907646,1.098612,1.386294,2.197225,2.484907,0,0,0,0,20.903537,21.191219,22.002149,19.511036,19.511036,19.511036,19.511036,0.287682,0,19.804925,-50,3,3.806662,8.20166,0.693147,1.098612,1.791759,20.204183,20.609648,21.302795,2.877949,0.693147,2.415513,0.606136,266.666667,-20.69627,-20.751405,-20.780987,-20.806944,-20.920356,-21.240712,-21.356836,-21.422535,-0.891345,-0.946481,-0.976062,-1.002019,-1.409321,-1.729677,-1.845801,-1.911499,0.974377,0.936413,0.970852,0.890365,0.946357,0.725891,-0.055136,-0.320356,-0.025957,-0.065698,-0.036807,-0.161473,nonspam
1.098612,-50,0.693147,0.733969,-50,0,-50,0.693147,0.847298,3.555348,1.94591,0,-19.09127,-18.993412,20.092025,-50,19.68656,-1.069551,-4.402671,18.021719,14.590742,-20.487778,-20.390005,-21.488618,0.693147,0.693147,0.693147,0.693147,0,0,0,0.693147,19.784417,19.784417,19.784417,18.993412,18.993412,18.993412,19.68656,0,0,-50,-50,2,3.73767,3.89182,1.609438,1.94591,2.079442,20.60285,20.939323,21.072854,0.090972,0.510826,1.683955,0.338737,6.571429,-19.607632,-19.841033,-20.02824,-20.178083,-20.042439,-20.409931,-20.64618,-20.790015,-0.516362,-0.749763,-0.93697,-1.086813,-1.049027,-1.416519,-1.652768,-1.796603,0.860843,0.866031,0.829272,0.789584,0.791836,0.692469,-0.2334,-0.367492,-0.149843,-0.143835,-0.189567,-0.245013,nonspam
0.693147,1.098612,-50,-1.178655,0.287682,-50,1.386294,-50,1.504077,5.351858,2.197225,0,-19.736439,-19.656495,20.349642,20.835052,-50,0.21729,-7.683977,19.953729,11.972518,-21.126234,-21.051082,-21.744229,1.098612,1.791759,4.584967,5.379897,0,1.609438,1.791759,5.062595,20.835052,21.528199,24.321407,19.656495,21.265933,21.448255,24.71909,0.693147,1.609438,20.835052,21.04279,3,4.828314,10.659844,1.791759,4.828314,6.118097,21.448255,24.484809,25.774592,1.289783,3.036554,3.836964,2.214312,3.632,-20.462905,-20.432313,-20.387673,-20.333393,-20.698971,-20.905516,-20.93235,-20.924535,-0.726466,-0.695874,-0.651233,-0.596954,-1.042476,-1.249021,-1.275855,-1.268039,1.055779,1.007846,1.045652,0.973523,1.031065,0.81339,0.030592,-0.206545,0.054279,0.007815,0.043218,-0.070866,nonspam
0,0.693147,-50,-0.693147,-0.405465,-50,0.287682,-50,0,6.792344,0,0,-19.485918,-19.304307,19.304307,20.179066,-50,0.075735,-50,19.561654,-50,-18.732378,-19.775108,-19.775108,1.098612,1.098612,1.609438,5.17615,0,0,1.098612,1.098612,20.584531,20.584531,21.095356,19.304307,19.304307,20.402919,20.402919,0,0,-50,-50,3,3.332205,10.791955,0.693147,1.386294,3.332205,19.997454,20.690602,22.636512,7.354134,1.94591,6.265145,1.299283,10938.5,-20.029039,-20.12454,-20.127227,-20.104262,-20.087,-20.408578,-20.554945,-20.636056,-0.54312,-0.638622,-0.641308,-0.618343,-0.782693,-1.104271,-1.250638,-1.331748,1.023231,0.922092,0.997317,0.86384,0.908917,0.725004,-0.095501,-0.321578,0.022965,-0.08111,-0.023793,-0.177956,nonspam
0,0.693147,-50,-0.693147,0,-50,0.693147,-50,0,5.420535,0,0,-19.104754,-19.089042,19.089042,19.797902,-50,-3.530385,-50,15.57437,-50,-20.492932,-20.482537,-20.482537,1.386294,1.94591,1.94591,1.94591,0,0,2.079442,2.079442,20.491049,21.050665,21.050665,19.089042,19.089042,21.168483,21.168483,0.559616,0,20.203367,-50,4,3.367296,9.197559,0.693147,1.94591,3.465736,19.782189,21.034952,22.554778,3.355334,1.519826,2.716225,1.21109,118.714286,-19.678568,-19.720934,-19.667018,-19.579819,-19.540514,-19.726879,-20.06205,-20.109823,-0.573813,-0.616179,-0.562263,-0.475065,-0.451472,-0.637837,-0.973008,-1.020781,1.091113,0.95335,1.055396,0.715216,0.958519,0.829971,-0.042366,-0.335171,0.087198,-0.047773,0.03441,-0.182907,nonspam
