eq_hp_mp,assortativity_mp,avgin_of_out_hp,avgin_of_out_mp,avgout_of_in_mp,indegree_hp,indegree_mp,neighbors_2_hp,neighbors_2_mp,neighbors_3_mp,neighbors_4_hp,neighbors_4_mp,outdegree_hp,outdegree_mp,pagerank_hp,pagerank_mp,prsigma_hp,prsigma_mp,siteneighbors_1_hp,siteneighbors_1_mp,siteneighbors_2_hp,siteneighbors_2_mp,siteneighbors_3_hp,siteneighbors_3_mp,siteneighbors_4_hp,siteneighbors_4_mp,truncatedpagerank_1_hp,truncatedpagerank_1_mp,truncatedpagerank_2_hp,truncatedpagerank_2_mp,truncatedpagerank_3_hp,truncatedpagerank_3_mp,truncatedpagerank_4_hp,truncatedpagerank_4_mp,class
1,0.001186,20093,20093,239,4,4,35,35,2905,9800,9800,1,1,0,0,0.887241,0.887241,3,3,14,14,24,24,38,38,0,0,0,0,0,0,0,0,nonspam
1,0.885731,16.90909,16.90909,42.39394,33,33,97,97,3452,43424,43424,11,11,0,0,0.424114,0.424114,10,10,15,15,29,29,56,56,0,0,0,0,0,0,0,0,nonspam
1,0.074253,1.5,1.5,61.777779,18,18,4340,4340,23887,125883,125883,2,2,0,0,1.625539,1.625539,10,10,17,17,211,211,532,532,0,0,0,0,0,0,0,0,nonspam
0,1.448276,13,10.285714,7.076923,5,13,74,15,97,9800,3040,1,6,0,0,0.717719,0.391694,4,1,16,6,24,16,44,25,0,0,0,0,0,0,0,0,nonspam
0,1.469636,1,18.181818,11.571428,47,21,244,20,72,31297,263,2,10,0,0,0.255555,0.528454,4,1,12,1,27,6,45,15,0,0,0,0,0,0,0,0,nonspam
1,0.437544,12.071428,12.071428,64.055557,18,18,77,77,2905,10242,10242,13,13,0,0,0.188714,0.188714,4,4,17,17,28,28,45,45,0,0,0,0,0,0,0,0,nonspam
1,0.613757,2.2,2.2,43.875,24,24,69,69,3040,11134,11134,5,5,0,0,0.342514,0.342514,6,6,17,17,27,27,38,38,0,0,0,0,0,0,0,0,spam
0,0.75,1.5,0,2,4,3,35,8,32,9800,2905,4,0,0,0,0.887241,0.000083,3,1,14,5,24,15,38,24,0,0,0,0,0,0,0,0,nonspam
0,0.166667,1,0,3,3,1,22,4,22,9087,2103,3,0,0,0,1.190166,0,3,1,9,5,15,10,32,16,0,0,0,0,0,0,0,0,nonspam
0,6.696185,15077,4021.600098,20.114721,26,985,779,1142,2477,43650,19837,3,29,0,0,0.210475,0.326292,3,1,5,7,7,13,50,63,0,0,0,0,0,0,0,0,nonspam
1,0.002695,1351,1351,70,1,1,2,2,11,50,50,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,spam
1,6.68699,2807.684326,2807.684326,306.010834,4062,4062,35655,35655,102208,408833,408833,18,18,0.000001,0.000001,0.412758,0.412758,17,17,75,75,331,331,1595,1595,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
1,0.769231,5.142857,5.142857,17.111111,9,9,16,16,24,67,67,6,6,0,0,0.240175,0.240175,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
0,1.283784,9,5.777778,6.888889,7,9,18,17,29,119384,23302,5,8,0,0,0.497093,0.238078,3,1,4,5,116,5,1595,141,0,0,0,0,0,0,0,0,nonspam
