@relation '.\\uk-2007-05.link_based_features.csv'

@attribute eq_hp_mp numeric
@attribute assortativity_hp numeric
@attribute assortativity_mp numeric
@attribute avgin_of_out_hp numeric
@attribute avgin_of_out_mp numeric
@attribute avgout_of_in_hp numeric
@attribute avgout_of_in_mp numeric
@attribute indegree_hp numeric
@attribute indegree_mp numeric
@attribute neighbors_2_hp numeric
@attribute neighbors_2_mp numeric
@attribute neighbors_3_hp numeric
@attribute neighbors_3_mp numeric
@attribute neighbors_4_hp numeric
@attribute neighbors_4_mp numeric
@attribute outdegree_hp numeric
@attribute outdegree_mp numeric
@attribute pagerank_hp numeric
@attribute pagerank_mp numeric
@attribute prsigma_hp numeric
@attribute prsigma_mp numeric
@attribute reciprocity_hp numeric
@attribute reciprocity_mp numeric
@attribute siteneighbors_1_hp numeric
@attribute siteneighbors_1_mp numeric
@attribute siteneighbors_2_hp numeric
@attribute siteneighbors_2_mp numeric
@attribute siteneighbors_3_hp numeric
@attribute siteneighbors_3_mp numeric
@attribute siteneighbors_4_hp numeric
@attribute siteneighbors_4_mp numeric
@attribute truncatedpagerank_1_hp numeric
@attribute truncatedpagerank_1_mp numeric
@attribute truncatedpagerank_2_hp numeric
@attribute truncatedpagerank_2_mp numeric
@attribute truncatedpagerank_3_hp numeric
@attribute truncatedpagerank_3_mp numeric
@attribute truncatedpagerank_4_hp numeric
@attribute truncatedpagerank_4_mp numeric
@attribute trustrank_hp numeric
@attribute trustrank_mp numeric
@attribute class {spam,nonspam}

@data
1,0.001186,0.001186,20093,20093,239,239,4,4,35,35,2905,2905,9800,9800,1,1,0,0,0.887241,0.887241,0,0,3,3,14,14,24,24,38,38,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.885731,0.885731,16.90909,16.90909,42.39394,42.39394,33,33,97,97,3452,3452,43424,43424,11,11,0,0,0.424114,0.424114,0.909091,0.909091,10,10,15,15,29,29,56,56,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.074253,0.074253,1.5,1.5,61.777779,61.777779,18,18,4340,4340,23887,23887,125883,125883,2,2,0,0,1.625539,1.625539,0,0,10,10,17,17,211,211,532,532,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.033302,1.448276,13,10.285714,196.399994,7.076923,5,13,74,15,2975,97,9800,3040,1,6,0,0,0.717719,0.391694,0,1,4,1,16,6,24,16,44,25,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.807415,1.469636,1,18.181818,53.680851,11.571428,47,21,244,20,4054,72,31297,263,2,10,0,0,0.255555,0.528454,0.5,1,4,1,12,1,27,6,45,15,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.437544,0.437544,12.071428,12.071428,64.055557,64.055557,18,18,77,77,2905,2905,10242,10242,13,13,0,0,0.188714,0.188714,1,1,4,4,17,17,28,28,45,45,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.613757,0.613757,2.2,2.2,43.875,43.875,24,24,69,69,3040,3040,11134,11134,5,5,0,0,0.342514,0.342514,1,1,6,6,17,17,27,27,38,38,0,0,0,0,0,0,0,0,0,0,spam
0,0.064581,0.75,1.5,0,239,2,4,3,35,8,2905,32,9800,2905,4,0,0,0,0.887241,0.000083,0,1,3,1,14,5,24,15,38,24,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.045397,0.166667,1,0,257,3,3,1,22,4,2103,22,9087,2103,3,0,0,0,1.190166,0,0,1,3,1,9,5,15,10,32,16,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.01754,6.696185,15077,4021.600098,50.96154,20.114721,26,985,779,1142,15638,2477,43650,19837,3,29,0,0,0.210475,0.326292,0,0.633333,3,1,5,7,7,13,50,63,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.002695,0.002695,1351,1351,70,70,1,1,2,2,11,11,50,50,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,spam
1,6.68699,6.68699,2807.684326,2807.684326,306.010834,306.010834,4062,4062,35655,35655,102208,102208,408833,408833,18,18,0.000001,0.000001,0.412758,0.412758,0.894737,0.894737,17,17,75,75,331,331,1595,1595,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,nonspam
1,0.769231,0.769231,5.142857,5.142857,17.111111,17.111111,9,9,16,16,24,24,67,67,6,6,0,0,0.240175,0.240175,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.269159,1.283784,9,5.777778,61.714287,6.888889,7,9,18,17,23302,29,119384,23302,5,8,0,0,0.497093,0.238078,0,1,3,1,4,5,116,5,1595,141,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.107221,0.107221,0,0,50,50,7,7,102,102,248,248,4226,4226,0,0,0,0,0.309674,0.309674,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
1,1.042296,1.042296,7.714286,7.714286,23.59091,23.59091,22,22,57,57,2366,2366,11914,11914,6,6,0,0,0.865281,0.865281,1,1,8,8,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,nonspam
1,1.484568,1.484568,22.583334,22.583334,12.708333,12.708333,24,24,37,37,125,125,19056,19056,11,11,0,0,0.287728,0.287728,0.916667,0.916667,5,5,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.002052,1.909782,11729.526367,10161.181641,17.333334,27.643171,3,681,1425,1525,1425,52605,1632,204416,18,21,0,0,2.146022,0.337477,0.157895,0.681818,1,3,1,10,5,199,10,508,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.266758,0.266758,127.25,127.25,16.1,16.1,10,10,31,31,476,476,14087,14087,3,3,0,0,0.260505,0.260505,0.5,0.5,7,7,10,10,19,19,28,28,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.106383,0.106383,3,3,38.25,38.25,4,4,28,28,90,90,1677,1677,1,1,0,0,0.13412,0.13412,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.114286,0.973236,15,13.222222,9,15.466666,1,15,2,16,153,18,3040,181,1,8,0,0,0,0.282171,0,1,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.076923,0.076923,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
1,2.156046,2.156046,82.519997,82.519997,27.811111,27.811111,90,90,148,148,283,283,407,407,24,24,0,0,0.656176,0.656176,1,1,3,3,3,3,6,6,7,7,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.017062,2.193548,3107.5625,33.25,28.571428,11.045455,14,44,402,57,1778,231,18507,1297,15,24,0,0,0.679322,0.175452,0.1875,0.875,6,2,29,10,58,13,138,17,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.000161,0.5,55999,0,4,1,2,1,4,2,15,5,37,6,1,0,0,0,0.000942,0,0,1,1,1,1,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,nonspam
1,603.386902,603.386902,16716.054688,16716.054688,25.001984,25.001984,47394,47394,29846,29846,41602,41602,43496,43496,143,143,0.000003,0.000003,0.039203,0.039203,0.854167,0.854167,1,1,12,12,14,14,70,70,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
1,0.259928,0.259928,14.5,14.5,16.857143,16.857143,7,7,191,191,3107,3107,38222,38222,2,2,0,0,0.577057,0.577057,0.5,0.5,5,5,18,18,111,111,209,209,0,0,0,0,0,0,0,0,0,0,nonspam
1,2.339399,2.339399,123.375,123.375,15.513514,15.513514,74,74,93,93,93,93,93,93,15,15,0,0,0.001038,0.001038,0.125,0.125,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,spam
0,0.003513,0.45,5562,0,24.75,4.333333,4,3,14,7,564,15,17810,593,10,0,0,0,0.063988,0.013534,0,1,2,1,2,3,4,3,20,6,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.003933,0.642857,4528.200195,0,10.25,2.666667,4,3,20,4,154,8,451,24,4,0,0,0,0.05656,0.009176,0.2,1,3,1,4,1,4,4,28,4,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.333333,0.333333,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.407035,46.5,4.25,2,2,2.912037,1,216,3,277,270,302,289,302,8,1,0,0,0,0.130469,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,nonspam
0,1.977401,37.970711,1,35.5,20.333334,2.570552,69,163,240,189,347,416,911,546,1,2,0,0,0.703609,0.259754,0,0,1,1,1,6,8,6,12,24,0,0,0,0,0,0,0,0,0,0,nonspam
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,295.444855,286.170807,1914.480469,150.222229,37.093014,38.503551,20266,19432,32579,31174,52053,38801,106730,52053,76,17,0.000007,0.000009,0.227477,0.274469,0.753247,1,3,1,75,3,152,132,642,300,0.000008,0.000011,0.000007,0.000011,0.000007,0.000011,0.000006,0.000012,0.000002,0.000002,nonspam
0,1.477806,63.733929,366.787872,553.900024,34.134228,10.889775,149,1379,2851,1780,11368,3776,73909,11368,33,9,0,0.000004,0.409126,0.290716,0.060606,1,4,1,14,8,23,18,508,23,0,0.000005,0,0.000005,0,0.000005,0,0.000005,0,0.000001,nonspam
1,6.863007,6.863007,33047.5,33047.5,26.402245,26.402245,2941,2941,10622,10622,96418,96418,164558,164558,33,33,0.000001,0.000001,0.240969,0.240969,0.764706,0.764706,17,17,25,25,121,121,797,797,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,spam
1,0.42328,0.42328,122.800003,122.800003,15.25,15.25,16,16,16,16,16,16,16,16,14,14,0,0,0.000305,0.000305,0.133333,0.133333,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,spam
1,0.010899,0.010899,0,0,32,32,2,2,311,311,352,352,10622,10622,0,0,0,0,0.006287,0.006287,1,1,2,2,2,2,31,31,33,33,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.296684,0.296684,7741,7741,606.635376,606.635376,362,362,26059,26059,317980,317980,635963,635963,1,1,0,0,0.399816,0.399816,0,0,17,17,75,75,619,619,2482,2482,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.636364,1.474201,15.727273,15.3,8.666667,10.105263,3,19,7,24,81,27,1135,99,10,9,0,0,0.026875,0.486425,0.090909,1,3,1,4,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.991968,0.991968,7.625,7.625,13.4,13.4,10,10,45,45,911,911,27286,27286,7,7,0,0,0.316544,0.316544,0.75,0.75,4,4,13,13,37,37,181,181,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.327548,0.327548,151.399994,151.399994,16.523809,16.523809,21,21,245,245,20312,20312,30828,30828,9,9,0,0,1.154207,1.154207,0.9,0.9,5,5,8,8,31,31,34,34,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.214286,0.214286,40.5,40.5,11,11,4,4,24,24,80,80,3908,3908,2,2,0,0,0.239008,0.239008,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.569274,0.569274,4582.700195,4582.700195,281.410706,281.410706,336,336,1377,1377,59692,59692,93682,93682,29,29,0,0,0.168785,0.168785,0.133333,0.133333,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.6,1.481481,1,1.25,3,5,2,4,5,7,7,8,8,8,1,4,0,0,0.154287,0.000893,0,0.75,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,nonspam
0,1.448676,0.293032,15.181818,6872.5,14.521739,17.552,23,125,74,222,2008,1085,70750,3183,10,8,0,0,0.757104,0.36503,0.909091,0.625,4,6,19,14,37,20,712,119,0,0,0,0,0,0,0,0,0,0.000001,nonspam
1,4.986251,4.986251,24.666666,24.666666,7.970149,7.970149,67,67,84,84,84,84,84,84,11,11,0,0,0.341927,0.341927,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,nonspam
0,1,0.103448,0,0,0,27.666666,0,3,0,7,0,665,0,21223,0,0,0,0,0,0.02724,1,1,0,3,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.085106,0.085106,978,978,44.090908,44.090908,11,11,137,137,920,920,39674,39674,1,1,0,0,0.368768,0.368768,0,0,4,4,6,6,16,16,66,66,0,0,0,0,0,0,0,0,0,0,spam
1,2.064827,2.064827,61.049999,61.049999,28.702127,28.702127,94,94,162,162,165,165,177,177,19,19,0,0,0.471943,0.471943,1,1,3,3,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.028902,0.028902,0,0,77.333336,77.333336,3,3,442,442,4517,4517,42446,42446,0,0,0,0,0.881466,0.881466,1,1,3,3,4,4,4,4,6,6,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.972973,0.764706,4.5,4.333333,6,12.5,5,6,6,6,6,6,6,6,5,5,0,0,0.000001,0.274238,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,spam
0,0.072072,1.067416,1,17.666666,81.571426,17.736841,7,19,155,20,943,20,8034,24,1,17,0,0,0.576117,0.163507,1,1,4,1,6,1,6,1,6,6,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.142857,0.142857,0,0,11.5,11.5,2,2,5,5,24,24,694,694,0,0,0,0,0.016202,0.016202,1,1,2,2,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,spam
1,0.9388,0.9388,360.700012,360.700012,137.594147,137.594147,239,239,552,552,6650,6650,91672,91672,10,10,0,0,0.174722,0.174722,0.8,0.8,2,2,24,24,40,40,227,227,0,0,0,0,0,0,0,0,0,0,nonspam
