@relation '.\\uk-2007-05.obvious_features.csv'

@attribute number_of_pages numeric
@attribute length_of_hostname numeric
@attribute class {spam,nonspam}

@data
1,30,nonspam
20,29,nonspam
9,29,nonspam
14,30,nonspam
42,29,nonspam
14,29,nonspam
19,31,spam
5,29,nonspam
4,32,nonspam
987,30,nonspam
1,17,spam
6718,22,nonspam
8,16,nonspam
10,11,nonspam
1,10,nonspam
10,23,nonspam
20,16,nonspam
2279,13,nonspam
2,20,nonspam
1,15,nonspam
92,18,nonspam
1,21,nonspam
87,16,nonspam
76,29,nonspam
23,19,nonspam
47397,24,nonspam
2,21,nonspam
737,17,spam
9,36,nonspam
5,14,nonspam
1,19,nonspam
263,18,nonspam
634,12,nonspam
1,17,nonspam
28411,28,nonspam
1420,22,nonspam
2918,26,spam
179,10,spam
1,22,nonspam
3,11,nonspam
20,19,nonspam
6,18,nonspam
13,26,nonspam
1,18,nonspam
67,26,nonspam
53,26,nonspam
488,18,nonspam
52,20,nonspam
4,31,nonspam
1,19,spam
151,10,nonspam
1,17,nonspam
6,81,spam
52,27,nonspam
1,24,spam
4,29,nonspam
78,25,nonspam
642,23,nonspam
148,15,nonspam
2,25,nonspam
542,21,spam
1,22,nonspam
189,14,nonspam
1,25,nonspam
13,17,nonspam
473,21,nonspam
16,18,nonspam
7,29,nonspam
4,21,nonspam
51,24,nonspam
51,31,nonspam
30,21,nonspam
6221,17,spam
37,23,nonspam
1,16,nonspam
1,14,nonspam
1,13,nonspam
1,15,nonspam
37,21,nonspam
18,18,spam
74,24,nonspam
37,36,nonspam
39,18,nonspam
8,37,nonspam
1,19,nonspam
66,28,spam
1,30,spam
1,28,nonspam
3,22,nonspam
657,10,nonspam
1,27,nonspam
12,21,nonspam
1,32,nonspam
7,16,nonspam
57,17,nonspam
20,28,nonspam
1902,22,nonspam
326,17,nonspam
51,26,nonspam
8,15,nonspam
35,22,nonspam
4013,26,spam
15880,13,nonspam
1,20,nonspam
242,21,nonspam
1,13,nonspam
3,19,nonspam
60,19,nonspam
163,22,nonspam
14,17,nonspam
45,19,nonspam
4,22,nonspam
242,21,nonspam
11,25,nonspam
92,14,nonspam
1,28,nonspam
467,20,nonspam
228,17,nonspam
5,30,nonspam
1,18,nonspam
4,23,nonspam
1,17,nonspam
1,15,nonspam
1966,19,nonspam
228,28,nonspam
190,20,nonspam
8001,19,nonspam
41,15,spam
2,16,nonspam
245,14,spam
280,19,spam
523,16,nonspam
32,17,nonspam
7890,14,nonspam
4,17,nonspam
20959,20,nonspam
1760,20,nonspam
1,27,nonspam
4352,32,nonspam
874,22,nonspam
31467,17,nonspam
6287,11,nonspam
10,16,nonspam
1991,27,nonspam
6,18,nonspam
61,31,nonspam
134,13,nonspam
1777,10,nonspam
18,19,nonspam
200,32,nonspam
1,17,spam
919,38,nonspam
214,15,nonspam
3,25,nonspam
3,16,nonspam
48,26,nonspam
62,16,nonspam
67,27,nonspam
1,21,nonspam
1681,22,nonspam
1,15,nonspam
1268,17,nonspam
1,22,nonspam
1,17,nonspam
55,10,nonspam
54,16,nonspam
171,20,nonspam
5806,13,nonspam
272,20,spam
33,20,nonspam
522,23,nonspam
3,23,nonspam
404,34,nonspam
192,32,nonspam
478,25,nonspam
50,20,nonspam
15,20,nonspam
6,14,nonspam
38,23,nonspam
52,17,nonspam
3816,22,nonspam
18,15,nonspam
17,22,nonspam
148,19,nonspam
4742,14,nonspam
1,22,nonspam
19,27,nonspam
180,28,spam
1378,17,nonspam
448,21,nonspam
1,17,nonspam
1,31,spam
3,27,nonspam
24517,19,nonspam
1236,15,nonspam
110,17,nonspam
116,19,nonspam
61,18,nonspam
4,20,nonspam
1,29,nonspam
1,27,nonspam
197,25,nonspam
16,19,nonspam
1,18,nonspam
2819,20,nonspam
39,19,nonspam
17,19,nonspam
3,25,nonspam
8,15,nonspam
1,26,nonspam
56,22,nonspam
9161,25,nonspam
1,16,nonspam
270,24,nonspam
1,15,nonspam
2,16,nonspam
6,23,nonspam
16,18,nonspam
16,28,nonspam
954,16,nonspam
3,31,nonspam
9098,12,nonspam
1,21,nonspam
182,21,nonspam
30,19,nonspam
21,28,nonspam
1,26,nonspam
131,12,nonspam
18,14,nonspam
9,20,nonspam
173,21,nonspam
16,23,nonspam
22,12,nonspam
11,24,nonspam
2,25,nonspam
1,17,nonspam
7,23,nonspam
23,22,nonspam
4873,18,nonspam
130,16,nonspam
6,21,nonspam
49987,17,nonspam
308,22,nonspam
18,25,nonspam
91,9,nonspam
12,18,nonspam
1002,25,nonspam
384,17,nonspam
119,17,nonspam
23,25,nonspam
528,16,nonspam
1,15,nonspam
29,22,nonspam
102,19,nonspam
332,15,nonspam
24,12,nonspam
13,18,nonspam
26239,27,nonspam
1215,22,nonspam
101,22,nonspam
1,31,nonspam
33,43,nonspam
20,21,nonspam
1,15,spam
6,17,nonspam
49973,22,spam
1,28,nonspam
33502,15,nonspam
29,25,nonspam
1,21,nonspam
1,22,nonspam
8,18,nonspam
97,25,nonspam
107,34,nonspam
7,22,nonspam
77,25,nonspam
49,21,nonspam
1,29,nonspam
18,25,nonspam
6,26,nonspam
1,30,nonspam
7,28,nonspam
550,17,spam
40,20,nonspam
3,20,nonspam
7,26,nonspam
39554,13,nonspam
50,20,nonspam
188,16,nonspam
6311,21,nonspam
1,15,nonspam
21,20,nonspam
42,34,nonspam
15939,19,nonspam
100,17,nonspam
16,20,nonspam
6,18,nonspam
25,20,nonspam
15,36,nonspam
39,16,nonspam
21,24,nonspam
201,14,nonspam
6,38,nonspam
3,35,nonspam
137,17,nonspam
42,23,nonspam
1,23,nonspam
1,20,nonspam
9,21,nonspam
9,15,nonspam
7,14,nonspam
5,22,nonspam
1,23,nonspam
1,16,spam
34,15,spam
2,21,nonspam
40,19,nonspam
47,23,nonspam
12,28,nonspam
1,25,nonspam
603,18,nonspam
902,23,nonspam
27,21,nonspam
38,20,nonspam
31,27,nonspam
1,22,nonspam
60,23,nonspam
11,24,nonspam
37,24,spam
1,28,nonspam
5,15,nonspam
1,18,nonspam
2,16,nonspam
89,24,nonspam
8,21,nonspam
158,18,nonspam
12,24,nonspam
22,30,nonspam
37,26,nonspam
250,18,nonspam
146,21,nonspam
3020,18,nonspam
5081,14,nonspam
30,18,nonspam
4,14,spam
681,18,nonspam
6,22,nonspam
9698,32,nonspam
82,14,nonspam
13,21,nonspam
31,22,nonspam
6,19,nonspam
17,25,nonspam
12,14,nonspam
1,17,nonspam
15,20,nonspam
1,32,nonspam
1,14,nonspam
38,18,nonspam
102,18,nonspam
1912,25,spam
10337,16,nonspam
10,23,nonspam
324,27,nonspam
9,26,nonspam
24,16,nonspam
20,16,nonspam
30,25,nonspam
10,29,nonspam
33671,23,nonspam
22,28,nonspam
361,23,nonspam
1,23,nonspam
43,24,nonspam
167,22,nonspam
1195,23,nonspam
521,13,spam
177,21,nonspam
83,17,nonspam
3,21,nonspam
10,18,nonspam
67,18,nonspam
10,32,nonspam
1,22,nonspam
2,36,nonspam
31,16,nonspam
13,24,nonspam
1,24,spam
1,22,nonspam
10,26,nonspam
10,28,nonspam
339,20,nonspam
3,20,nonspam
4,17,nonspam
59,13,nonspam
10,23,nonspam
14038,17,nonspam
179,16,spam
14,26,nonspam
1,17,spam
47,25,nonspam
59,16,nonspam
1,22,nonspam
7,31,nonspam
33,32,nonspam
130,20,nonspam
2,20,nonspam
1,21,nonspam
49423,18,nonspam
3,28,nonspam
2,22,nonspam
210,24,nonspam
102,22,nonspam
5195,19,nonspam
41,22,nonspam
149,26,nonspam
1315,28,nonspam
9,30,nonspam
1,34,nonspam
5,27,nonspam
2285,20,nonspam
31,20,nonspam
18,17,nonspam
10,27,nonspam
7,22,spam
142,21,nonspam
146,31,nonspam
222,15,nonspam
19,19,nonspam
465,20,nonspam
3043,23,nonspam
37,21,nonspam
72,20,spam
67,25,nonspam
8,34,nonspam
11,16,nonspam
53,37,nonspam
61,27,nonspam
44,24,nonspam
5,23,nonspam
8,15,spam
1,16,nonspam
66,23,nonspam
14,21,nonspam
118,17,nonspam
100,19,nonspam
58,24,nonspam
256,13,nonspam
4722,30,nonspam
22,29,nonspam
61,31,nonspam
16,18,nonspam
11,16,nonspam
12,19,nonspam
7,17,nonspam
35,32,nonspam
1,23,nonspam
12,25,nonspam
677,22,nonspam
30,19,nonspam
36,24,nonspam
22,18,nonspam
8,24,nonspam
6,17,nonspam
36,21,nonspam
5,30,nonspam
32,23,nonspam
5,22,nonspam
18,29,nonspam
20,22,nonspam
500,19,nonspam
31,19,nonspam
547,24,nonspam
7,21,nonspam
7008,23,nonspam
55,26,nonspam
4,25,nonspam
562,22,nonspam
5,25,nonspam
36,25,nonspam
1,28,nonspam
31,31,nonspam
8,21,nonspam
19727,16,nonspam
69,29,nonspam
22,22,nonspam
48,28,nonspam
45,32,nonspam
36,17,nonspam
37,16,nonspam
5,15,nonspam
17,26,spam
408,15,nonspam
62,15,nonspam
90,17,nonspam
4325,24,nonspam
14,24,nonspam
2,25,nonspam
8,25,nonspam
36987,25,nonspam
1,32,nonspam
16,19,nonspam
5,22,spam
45,22,nonspam
21,16,nonspam
1,19,nonspam
87,25,nonspam
53,19,spam
48,24,spam
9,20,nonspam
3,28,nonspam
10,17,nonspam
1,15,nonspam
27,34,nonspam
894,30,nonspam
1,22,nonspam
119,27,nonspam
10,25,nonspam
7,15,nonspam
47,22,nonspam
19,17,nonspam
424,23,nonspam
35,15,nonspam
1,22,nonspam
1118,17,nonspam
2,20,nonspam
1,18,nonspam
2,25,spam
170,17,nonspam
19,24,nonspam
16,30,nonspam
1143,16,nonspam
12,28,nonspam
1083,18,nonspam
78,24,nonspam
1002,15,nonspam
8,23,nonspam
1721,23,nonspam
22,22,nonspam
33,15,nonspam
674,19,nonspam
31,26,nonspam
70,20,nonspam
118,22,nonspam
183,21,nonspam
6270,14,nonspam
1207,17,nonspam
6,22,spam
11,19,nonspam
1,21,nonspam
403,19,nonspam
383,22,nonspam
5998,26,nonspam
