@RELATION .\uk-2007-05.obvious_features.csv

@ATTRIBUTE hostid NUMERIC
@ATTRIBUTE number_of_pages NUMERIC
@ATTRIBUTE length_of_hostname NUMERIC
@ATTRIBUTE class {spam,nonspam}
@ATTRIBUTE assessmentscore NUMERIC


@DATA
4,1,30,nonspam,0.000000
5,20,29,nonspam,0.000000
8,9,29,nonspam,0.000000
61,14,30,nonspam,0.000000
62,42,29,nonspam,0.000000
77,14,29,nonspam,0.000000
112,19,31,spam,1.000000
132,5,29,nonspam,0.000000
165,4,32,nonspam,0.000000
224,987,30,nonspam,0.000000
322,1,17,spam,1.000000
349,6718,22,nonspam,0.000000
362,8,16,nonspam,0.000000
379,10,11,nonspam,0.000000
380,1,10,nonspam,0.000000
409,10,23,nonspam,0.000000
419,20,16,nonspam,0.000000
488,2279,13,nonspam,0.000000
499,2,20,nonspam,0.000000
501,1,15,nonspam,0.000000
539,92,18,nonspam,0.000000
559,1,21,nonspam,0.000000
574,87,16,nonspam,0.250000
610,76,29,nonspam,0.100000
615,23,19,nonspam,0.166667
620,47397,24,nonspam,0.000000
672,2,21,nonspam,0.000000
728,737,17,spam,1.000000
753,9,36,nonspam,0.000000
768,5,14,nonspam,0.000000
787,1,19,nonspam,0.000000
788,263,18,nonspam,0.000000
809,634,12,nonspam,0.000000
828,1,17,nonspam,0.000000
878,28411,28,nonspam,0.000000
885,1420,22,nonspam,0.000000
926,2918,26,spam,0.750000
998,179,10,spam,1.000000
1019,1,22,nonspam,0.000000
1068,3,11,nonspam,0.000000
1069,20,19,nonspam,0.000000
1195,6,18,nonspam,0.000000
1242,13,26,nonspam,0.000000
1275,1,18,nonspam,0.000000
1281,67,26,nonspam,0.000000
1287,53,26,nonspam,0.000000
1323,488,18,nonspam,0.000000
1340,52,20,nonspam,0.000000
1374,4,31,nonspam,0.000000
1386,1,19,spam,0.750000
1394,151,10,nonspam,0.000000
1422,1,17,nonspam,0.000000
1427,6,81,spam,1.000000
1469,52,27,nonspam,0.000000
1475,1,24,spam,1.000000
1488,4,29,nonspam,0.000000
1499,78,25,nonspam,0.000000
1549,642,23,nonspam,0.000000
1567,148,15,nonspam,0.000000
1583,2,25,nonspam,0.000000
1629,542,21,spam,1.000000
1682,1,22,nonspam,0.000000
1714,189,14,nonspam,0.333333
1730,1,25,nonspam,0.000000
1736,13,17,nonspam,0.000000
1751,473,21,nonspam,0.000000
1752,16,18,nonspam,0.000000
1792,7,29,nonspam,0.000000
1803,4,21,nonspam,0.000000
1841,51,24,nonspam,0.000000
1887,51,31,nonspam,0.000000
1899,30,21,nonspam,0.000000
1917,6221,17,spam,0.857143
1978,37,23,nonspam,0.000000
2012,1,16,nonspam,0.000000
2015,1,14,nonspam,0.000000
2034,1,13,nonspam,0.000000
2085,1,15,nonspam,0.000000
2128,37,21,nonspam,0.000000
2176,18,18,spam,1.000000
2181,74,24,nonspam,0.000000
2193,37,36,nonspam,0.000000
2208,39,18,nonspam,0.000000
2235,8,37,nonspam,0.000000
2241,1,19,nonspam,0.000000
